Date,CPI,PPI
01/12/2012,2.5,-1.94
01/01/2013,2.03,-1.64
01/02/2013,3.22,-1.63
01/03/2013,2.07,-1.92
01/04/2013,2.39,-2.62
01/05/2013,2.1,-2.87
01/06/2013,2.67,-2.7
01/07/2013,2.67,-2.27
01/08/2013,2.57,-1.62
01/09/2013,3.05,-1.34
01/10/2013,3.21,-1.51
01/11/2013,3.02,-1.42
01/12/2013,2.5,-1.36
01/01/2014,2.49,-1.64
01/02/2014,1.95,-2
01/03/2014,2.38,-2.3
01/04/2014,1.8,-2
01/05/2014,2.48,-1.45
01/06/2014,2.34,-1.11
01/07/2014,2.29,-0.87
01/08/2014,1.99,-1.2
01/09/2014,1.63,-1.8
01/10/2014,1.6,-2.24
01/11/2014,1.44,-2.69
01/12/2014,1.51,-3.32
01/01/2015,0.76,-4.32
01/02/2015,1.43,-4.8
01/03/2015,1.38,-4.56
01/04/2015,1.51,-4.57
01/05/2015,1.23,-4.61
01/06/2015,1.39,-4.81
01/07/2015,1.65,-5.37
01/08/2015,1.96,-5.92
01/09/2015,1.6,-5.95
01/10/2015,1.27,-5.9
01/11/2015,1.49,-5.9
01/12/2015,1.6,-5.9
01/01/2016,1.8,-5.3
01/02/2016,2.3,-4.9
01/03/2016,2.3,-4.3
01/04/2016,2.33,-3.4
01/05/2016,2.04,-2.8
01/06/2016,1.88,-2.6
01/07/2016,1.77,-1.7
01/08/2016,1.34,-0.8
01/09/2016,1.92,0.1
01/10/2016,2.1,1.2
01/11/2016,2.25,3.3
01/12/2016,2.08,5.5
01/01/2017,2.55,6.9
01/02/2017,0.8,7.8
01/03/2017,0.9,7.6
01/04/2017,1.2,6.4
01/05/2017,1.5,5.5
01/06/2017,1.5,5.5
01/07/2017,1.4,5.5
01/08/2017,1.8,6.3
01/09/2017,1.6,6.9
01/10/2017,1.9,6.9
01/11/2017,1.7,5.8
01/12/2017,1.8,4.9
01/01/2018,1.5,4.3
01/02/2018,2.9,3.7
01/03/2018,2.1,3.1
01/04/2018,1.8,3.4
01/05/2018,1.8,4.1
01/06/2018,1.9,4.7
01/07/2018,2.1,4.6
01/08/2018,2.3,4.1
01/09/2018,2.5,3.6
01/10/2018,2.5,3.3
01/11/2018,2.2,2.7
01/12/2018,1.9,0.9
01/01/2019,1.7,0.1
01/02/2019,1.5,0.1
01/03/2019,2.3,0.4
01/04/2019,2.5,0.9
01/05/2019,2.7,0.6
01/06/2019,2.7,0
01/07/2019,2.8,-0.3
01/08/2019,2.8,-0.8
01/09/2019,3,-1.2
01/10/2019,3.8,-1.6
01/11/2019,4.5,-1.4
01/12/2019,4.5,-0.5
01/01/2020,5.4,0.1
01/02/2020,5.2,-0.4
01/03/2020,4.3,-1.5
01/04/2020,3.3,-3.1
01/05/2020,2.4,-3.7
01/06/2020,2.5,-3
01/07/2020,2.7,-2.4
01/08/2020,2.4,-2
01/09/2020,1.7,-2.1
01/10/2020,0.5,-2.1
01/11/2020,-0.5,-1.5
01/12/2020,0.2,-0.4
01/01/2021,-0.3,0.3
01/02/2021,-0.2,1.7
01/03/2021,0.4,4.4
01/04/2021,0.9,6.8
01/05/2021,1.3,9
01/06/2021,1.1,8.8
01/07/2021,1,9
01/08/2021,0.8,9.5
01/09/2021,0.7,10.7
01/10/2021,1.5,13.5
01/11/2021,2.3,12.9
01/12/2021,1.5,10.3
01/01/2022,0.9,9.1
01/02/2022,0.9,8.8
01/03/2022,1.5,8.3
01/04/2022,2.1,8
01/05/2022,2.1,6.4
01/06/2022,2.5,6.1
01/07/2022,2.7,4.2
